clust_logFCS,clust_logFCS_predict
3.6660154,3.5601764
3.7188785,3.6991656
3.7998304,3.962564
3.8448913,3.6248417
3.6879361,3.6430929
3.7841516,3.7234104
3.8374259,3.6172535
3.8953035,3.5951355
3.8047087,3.5458636
3.6172888,3.732574
3.6439795,3.6469288
3.4990628,3.5341611
3.4933577,3.6179271
3.6403515,3.587249
3.6665723,3.8068671
3.84376,3.6939385
4.0433965,3.9888563
3.8813615,
3.7008128,3.6576445
3.7441485,3.7208385
3.6215286,3.6087837
3.862515,3.6871979
3.9374404,3.6990545
3.8079872,3.6293852
3.9977124,3.7439275
3.8358147,3.6664519
3.7830768,3.5983868
3.8918312,3.8269002
3.7758429,3.7713895
4.1514988,4.1520791
3.9309611,
3.8444798,3.8486013
3.8362947,3.6697114
3.6930976,3.621573
3.6518881,3.633446
3.7350838,3.6886282
3.9886575,3.9623868
3.7446616,3.9044924
3.93312,3.9326131
3.7440948,3.6608813
3.7857857,3.6622212
3.7116849,3.6071684
3.8871653,3.6734741
3.9496818,3.6603627
4.2388158,3.9779499
3.9722149,4.0770359
3.8195713,3.9522254
3.7748787,3.7878788
3.9916737,3.6440284
3.8403809,3.6552937
3.8244824,3.6601892
3.8742146,3.6454539
3.7777686,3.6565576
3.9021387,3.761487
3.7166927,3.5424385
3.5496531,3.588012
3.9362974,3.8517668
3.7444925,3.6716614
3.5289705,3.6780076
3.5693336,3.5745287
3.6268327,3.6359527
3.4981892,3.5244396
3.6486998,3.6168571
4.1787114,4.0676126
4.0011086,3.9780347
4.2960067,4.2442489
4.1393027,4.1765256
4.1048226,4.1536865
3.8897817,3.8136046
4.4301381,4.6753087
3.8571975,3.8289025
4.1035881,3.8008916
3.9184604,3.7774513
3.6246924,3.6236343
3.6686556,3.6289825
3.6704962,3.5990956
3.7689302,3.6094186
3.7852209,3.515837
3.7130654,3.4862301
4.0658445,3.9984882
4.0676599,3.8006563
4.0440907,3.7256107
3.7745514,3.6736264
3.8609583,3.6420329
3.9285622,3.6941524
3.7701697,3.7172446
3.7868888,3.6741827
3.9609897,3.933213
3.7418106,3.5568194
3.5393257,
3.7601032,3.6056635
3.7442036,3.7276456
3.6866508,3.6972694
3.8576705,3.7738619
4.307807,4.0751023
4.0041785,3.8443885
4.1439509,4.0804477
4.1076107,4.0108352
4.0758004,4.0136962
3.9102142,3.8681386
4.0183487,3.8153317
3.8182402,3.6090946
3.9712291,3.7253408
3.7441885,3.6572769
3.9448898,3.9189534
3.745857,3.706238
3.7006366,3.7818191
3.7242777,3.7274802
3.6038883,3.6914966
4.0880117,3.5950689
3.8565178,3.6838796
3.8771565,3.5830812
3.8044646,3.6631937
4.4177699,4.5097146
3.9529483,3.7008719
3.9882655,3.6558502
3.782285,3.6215265
3.9465747,3.5481756
3.8390801,3.5946426
3.9228625,4.0024085
4.0240684,3.8776765
3.9198496,3.8473673
3.6902764,3.5386472
3.4244342,3.5336988
3.6624522,3.5760009
3.6410766,3.6452069
3.6560838,3.5612569
3.8188958,3.6671469
3.6584873,3.6049025
3.6556187,3.60355
3.6803482,3.6549551
4.0570364,4.0378256
4.0009079,3.9126823
3.933511,3.596663
3.9245605,3.6189716
3.888823,3.6154354
3.9735847,3.7224977
3.7099979,3.5985968
3.8880391,3.5994449
3.7848067,3.6361294
3.7995741,3.5892582
3.8336868,3.7112637
4.070292,4.0162234
3.8762567,3.7763824
3.9872594,3.9066074
3.8244545,3.5730355
3.7324572,3.4909439
3.8186865,3.5416026
3.9912584,3.6913939
3.8286057,3.648602
3.8511894,3.6748638
3.7493882,3.653646
4.1048164,3.8703368
4.1718726,4.1483641
3.9400933,3.8257921
4.0186462,3.8435435
4.0405884,3.8910246
4.1376033,3.9858763
4.3435025,4.4631553
3.8839867,3.7072823
3.8106563,3.5758574
3.9591575,3.7717156
3.6416376,3.7019813
3.7192867,3.7706304
3.7181423,3.6269491
3.9302239,3.7468455
3.4777973,3.5728734
3.9654365,3.7592862
3.9739602,4.0604639
4.0015893,3.9238169
3.9948883,4.1733165
3.8791027,3.8213985
3.6354923,3.57409
3.9577582,3.686425
3.7005808,3.6712806
3.8639641,3.6654866
3.9037588,3.620189
3.996321,3.7318854
3.6687996,3.5865412
3.5208199,3.5292838
3.6095014,3.4887335
3.495477,3.4853454
3.8589108,3.7570343
3.8931241,3.6027188
4.2986822,4.3448539
4.1097946,4.138711
3.8628192,3.7071118
3.9663641,3.6951516
3.7417641,3.556386
3.7947338,3.6952128
4.0370798,3.5383351
3.8949118,3.609266
3.883817,3.7011416
3.9784043,3.6387572
3.9291706,3.7557344
3.9026279,3.7703776
3.7447398,3.6921349
3.7646635,3.6643007
3.7439375,3.6898508
4.2029653,3.8659968
4.1304073,4.0489602
4.1328444,4.1314254
4.2230363,3.9639726
4.2691398,4.506074
